latitude,longitude,temperature
52.437000,13.249500,25.45
52.437000,13.249795,25.44
52.437000,13.250091,25.42
52.437000,13.250386,25.36
52.437000,13.250682,25.26
52.437000,13.250977,25.12
52.437000,13.251273,24.95
52.437000,13.251568,24.77
52.437000,13.251864,24.61
52.437000,13.252159,24.47
52.437000,13.252455,24.38
52.437000,13.252750,24.32
52.437000,13.253046,24.29
52.437000,13.253341,24.26
52.437000,13.253637,24.22
52.437000,13.253932,24.16
52.437000,13.254228,24.10
52.437000,13.254523,24.07
52.437000,13.254819,24.09
52.437000,13.255114,24.19
52.437000,13.255410,24.34
52.437000,13.255705,24.52
52.437000,13.256001,24.73
52.437000,13.256296,24.95
52.437000,13.256591,25.19
52.437000,13.256887,25.45
52.437000,13.257182,25.70
52.437000,13.257478,25.92
52.437000,13.257773,26.12
52.437000,13.258069,26.29
52.437000,13.258364,26.44
52.437000,13.258660,26.58
52.437000,13.258955,26.69
52.437000,13.259251,26.76
52.437000,13.259546,26.78
52.437000,13.259842,26.78
52.437000,13.260137,26.79
52.437000,13.260433,26.85
52.437000,13.260728,26.96
52.437000,13.261024,27.13
52.437000,13.261319,27.36
52.437000,13.261615,27.59
52.437000,13.261910,27.80
52.437000,13.262206,27.94
52.437000,13.262501,28.00
52.437000,13.262796,27.99
52.437000,13.263092,27.92
52.437000,13.263387,27.81
52.437000,13.263683,27.68
52.437000,13.263978,27.55
52.437000,13.264274,27.42
52.437000,13.264569,27.27
52.437000,13.264865,27.11
52.437000,13.265160,26.92
52.437000,13.265456,26.72
52.437000,13.265751,26.52
52.437000,13.266047,26.35
52.437000,13.266342,26.20
52.437000,13.266638,26.08
52.437000,13.266933,25.97
52.437000,13.267229,25.85
52.437000,13.267524,25.72
52.437000,13.267820,25.59
52.437000,13.268115,25.47
52.437000,13.268411,25.39
52.437000,13.268706,25.36
52.437000,13.269002,25.37
52.437000,13.269297,25.42
52.437000,13.269592,25.47
52.437000,13.269888,25.52
52.437000,13.270183,25.54
52.437000,13.270479,25.55
52.437000,13.270774,25.55
52.437000,13.271070,25.55
52.437000,13.271365,25.57
52.437000,13.271661,25.60
52.437000,13.271956,25.64
52.437000,13.272252,25.70
52.437000,13.272547,25.77
52.437000,13.272843,25.86
52.437000,13.273138,25.95
52.437000,13.273434,26.05
52.437000,13.273729,26.12
52.437000,13.274025,26.17
52.437000,13.274320,26.17
52.437000,13.274616,26.14
52.437000,13.274911,26.07
52.437000,13.275207,25.98
52.437000,13.275502,25.89
52.437000,13.275797,25.81
52.437000,13.276093,25.76
52.437000,13.276388,25.75
52.437000,13.276684,25.80
52.437000,13.276979,25.92
52.437000,13.277275,26.11
52.437000,13.277570,26.36
52.437000,13.277866,26.66
52.437000,13.278161,26.98
52.437000,13.278457,27.28
52.437000,13.278752,27.52
52.437000,13.279048,27.69
52.437000,13.279343,27.77
52.437000,13.279639,27.77
52.437000,13.279934,27.68
52.437000,13.280230,27.52
52.437000,13.280525,27.30
52.437000,13.280821,27.05
52.437000,13.281116,26.79
52.437000,13.281412,26.57
52.437000,13.281707,26.39
52.437000,13.282003,26.27
52.437000,13.282298,26.20
52.437000,13.282593,26.16
52.437000,13.282889,26.13
52.437000,13.283184,26.09
52.437000,13.283480,26.04
52.437000,13.283775,25.97
52.437000,13.284071,25.91
52.437000,13.284366,25.86
52.437000,13.284662,25.83
52.437000,13.284957,25.83
52.437000,13.285253,25.85
52.437000,13.285548,25.86
52.437000,13.285844,25.86
52.437000,13.286139,25.84
52.437000,13.286435,25.78
52.437000,13.286730,25.72
52.437000,13.287026,25.65
52.437000,13.287321,25.60
52.437000,13.287617,25.58
52.437000,13.287912,25.59
52.437000,13.288208,25.64
52.437000,13.288503,25.71
52.437000,13.288798,25.79
52.437000,13.289094,25.86
52.437000,13.289389,25.92
52.437000,13.289685,25.94
52.437000,13.289980,25.93
52.437000,13.290276,25.90
52.437000,13.290571,25.85
52.437000,13.290867,25.79
52.437000,13.291162,25.72
52.437000,13.291458,25.66
52.437000,13.291753,25.61
52.437000,13.292049,25.60
52.437000,13.292344,25.63
52.437000,13.292640,25.71
52.437000,13.292935,25.82
52.437000,13.293231,25.96
52.437000,13.293526,26.10
52.437000,13.293822,26.21
52.437000,13.294117,26.30
52.437000,13.294413,26.35
52.437000,13.294708,26.37
52.437000,13.295004,26.36
52.437000,13.295299,26.32
52.437000,13.295594,26.28
52.437000,13.295890,26.23
52.437000,13.296185,26.20
52.437000,13.296481,26.18
52.437000,13.296776,26.18
52.437000,13.297072,26.18
52.437000,13.297367,26.19
52.437000,13.297663,26.19
52.437000,13.297958,26.17
52.437000,13.298254,26.12
52.437000,13.298549,26.02
52.437000,13.298845,25.89
52.437000,13.299140,25.75
52.437000,13.299436,25.62
52.437000,13.299731,25.52
52.437000,13.300027,25.46
52.437000,13.300322,25.45
52.437000,13.300618,25.48
52.437000,13.300913,25.53
52.437000,13.301209,25.62
52.437000,13.301504,25.73
52.437000,13.301799,25.85
52.437000,13.302095,25.96
52.437000,13.302390,26.06
52.437000,13.302686,26.14
52.437000,13.302981,26.19
52.437000,13.303277,26.24
52.437000,13.303572,26.30
52.437000,13.303868,26.39
52.437000,13.304163,26.49
52.437000,13.304459,26.58
52.437000,13.304754,26.64
52.437000,13.305050,26.64
52.437000,13.305345,26.60
52.437000,13.305641,26.51
52.437000,13.305936,26.42
52.437000,13.306232,26.33
52.437000,13.306527,26.27
52.437000,13.306823,26.21
52.437000,13.307118,26.16
52.437000,13.307414,26.10
52.437000,13.307709,26.04
52.437000,13.308005,25.98
52.437000,13.308300,25.95
52.437136,13.249500,25.52
52.437136,13.249795,25.50
52.437136,13.250091,25.46
52.437136,13.250386,25.39
52.437136,13.250682,25.28
52.437136,13.250977,25.14
52.437136,13.251273,24.97
52.437136,13.251568,24.79
52.437136,13.251864,24.63
52.437136,13.252159,24.50
52.437136,13.252455,24.40
52.437136,13.252750,24.34
52.437136,13.253046,24.29
52.437136,13.253341,24.26
52.437136,13.253637,24.21
52.437136,13.253932,24.14
52.437136,13.254228,24.08
52.437136,13.254523,24.06
52.437136,13.254819,24.09
52.437136,13.255114,24.19
52.437136,13.255410,24.34
52.437136,13.255705,24.52
52.437136,13.256001,24.74
52.437136,13.256296,24.97
52.437136,13.256591,25.23
52.437136,13.256887,25.50
52.437136,13.257182,25.75
52.437136,13.257478,25.98
52.437136,13.257773,26.17
52.437136,13.258069,26.34
52.437136,13.258364,26.48
52.437136,13.258660,26.60
52.437136,13.258955,26.70
52.437136,13.259251,26.75
52.437136,13.259546,26.77
52.437136,13.259842,26.78
52.437136,13.260137,26.80
52.437136,13.260433,26.87
52.437136,13.260728,27.00
52.437136,13.261024,27.18
52.437136,13.261319,27.41
52.437136,13.261615,27.65
52.437136,13.261910,27.85
52.437136,13.262206,27.99
52.437136,13.262501,28.06
52.437136,13.262796,28.05
52.437136,13.263092,27.97
52.437136,13.263387,27.86
52.437136,13.263683,27.73
52.437136,13.263978,27.59
52.437136,13.264274,27.46
52.437136,13.264569,27.31
52.437136,13.264865,27.14
52.437136,13.265160,26.95
52.437136,13.265456,26.75
52.437136,13.265751,26.55
52.437136,13.266047,26.38
52.437136,13.266342,26.24
52.437136,13.266638,26.12
52.437136,13.266933,26.01
52.437136,13.267229,25.89
52.437136,13.267524,25.77
52.437136,13.267820,25.64
52.437136,13.268115,25.53
52.437136,13.268411,25.45
52.437136,13.268706,25.41
52.437136,13.269002,25.42
52.437136,13.269297,25.46
52.437136,13.269592,25.51
52.437136,13.269888,25.55
52.437136,13.270183,25.57
52.437136,13.270479,25.58
52.437136,13.270774,25.59
52.437136,13.271070,25.60
52.437136,13.271365,25.62
52.437136,13.271661,25.65
52.437136,13.271956,25.69
52.437136,13.272252,25.75
52.437136,13.272547,25.82
52.437136,13.272843,25.91
52.437136,13.273138,26.00
52.437136,13.273434,26.10
52.437136,13.273729,26.17
52.437136,13.274025,26.22
52.437136,13.274320,26.22
52.437136,13.274616,26.19
52.437136,13.274911,26.12
52.437136,13.275207,26.04
52.437136,13.275502,25.95
52.437136,13.275797,25.87
52.437136,13.276093,25.82
52.437136,13.276388,25.80
52.437136,13.276684,25.85
52.437136,13.276979,25.97
52.437136,13.277275,26.15
52.437136,13.277570,26.41
52.437136,13.277866,26.71
52.437136,13.278161,27.03
52.437136,13.278457,27.32
52.437136,13.278752,27.56
52.437136,13.279048,27.73
52.437136,13.279343,27.82
52.437136,13.279639,27.82
52.437136,13.279934,27.73
52.437136,13.280230,27.57
52.437136,13.280525,27.35
52.437136,13.280821,27.10
52.437136,13.281116,26.84
52.437136,13.281412,26.62
52.437136,13.281707,26.44
52.437136,13.282003,26.32
52.437136,13.282298,26.24
52.437136,13.282593,26.19
52.437136,13.282889,26.15
52.437136,13.283184,26.10
52.437136,13.283480,26.05
52.437136,13.283775,25.99
52.437136,13.284071,25.93
52.437136,13.284366,25.88
52.437136,13.284662,25.86
52.437136,13.284957,25.85
52.437136,13.285253,25.87
52.437136,13.285548,25.88
52.437136,13.285844,25.88
52.437136,13.286139,25.86
52.437136,13.286435,25.81
52.437136,13.286730,25.74
52.437136,13.287026,25.67
52.437136,13.287321,25.62
52.437136,13.287617,25.59
52.437136,13.287912,25.60
52.437136,13.288208,25.64
52.437136,13.288503,25.71
52.437136,13.288798,25.79
52.437136,13.289094,25.87
52.437136,13.289389,25.93
52.437136,13.289685,25.96
52.437136,13.289980,25.95
52.437136,13.290276,25.93
52.437136,13.290571,25.88
52.437136,13.290867,25.83
52.437136,13.291162,25.76
52.437136,13.291458,25.70
52.437136,13.291753,25.65
52.437136,13.292049,25.64
52.437136,13.292344,25.67
52.437136,13.292640,25.75
52.437136,13.292935,25.87
52.437136,13.293231,26.00
52.437136,13.293526,26.13
52.437136,13.293822,26.24
52.437136,13.294117,26.31
52.437136,13.294413,26.36
52.437136,13.294708,26.38
52.437136,13.295004,26.37
52.437136,13.295299,26.35
52.437136,13.295594,26.31
52.437136,13.295890,26.27
52.437136,13.296185,26.24
52.437136,13.296481,26.23
52.437136,13.296776,26.23
52.437136,13.297072,26.24
52.437136,13.297367,26.25
52.437136,13.297663,26.25
52.437136,13.297958,26.22
52.437136,13.298254,26.15
52.437136,13.298549,26.05
52.437136,13.298845,25.92
52.437136,13.299140,25.77
52.437136,13.299436,25.64
52.437136,13.299731,25.55
52.437136,13.300027,25.49
52.437136,13.300322,25.49
52.437136,13.300618,25.52
52.437136,13.300913,25.58
52.437136,13.301209,25.67
52.437136,13.301504,25.77
52.437136,13.301799,25.89
52.437136,13.302095,26.00
52.437136,13.302390,26.10
52.437136,13.302686,26.18
52.437136,13.302981,26.23
52.437136,13.303277,26.28
52.437136,13.303572,26.35
52.437136,13.303868,26.43
52.437136,13.304163,26.52
52.437136,13.304459,26.60
52.437136,13.304754,26.65
52.437136,13.305050,26.65
52.437136,13.305345,26.60
52.437136,13.305641,26.53
52.437136,13.305936,26.44
52.437136,13.306232,26.36
52.437136,13.306527,26.30
52.437136,13.306823,26.25
52.437136,13.307118,26.21
52.437136,13.307414,26.15
52.437136,13.307709,26.09
52.437136,13.308005,26.03
52.437136,13.308300,25.99
52.437271,13.249500,25.62
52.437271,13.249795,25.59
52.437271,13.250091,25.53
52.437271,13.250386,25.44
52.437271,13.250682,25.32
52.437271,13.250977,25.17
52.437271,13.251273,25.00
52.437271,13.251568,24.83
52.437271,13.251864,24.67
52.437271,13.252159,24.54
52.437271,13.252455,24.43
52.437271,13.252750,24.36
52.437271,13.253046,24.30
52.437271,13.253341,24.24
52.437271,13.253637,24.18
52.437271,13.253932,24.11
52.437271,13.254228,24.06
52.437271,13.254523,24.04
52.437271,13.254819,24.08
52.437271,13.255114,24.18
52.437271,13.255410,24.33
52.437271,13.255705,24.53
52.437271,13.256001,24.75
52.437271,13.256296,25.01
52.437271,13.256591,25.30
52.437271,13.256887,25.58
52.437271,13.257182,25.85
52.437271,13.257478,26.08
52.437271,13.257773,26.27
52.437271,13.258069,26.42
52.437271,13.258364,26.54
52.437271,13.258660,26.63
52.437271,13.258955,26.69
52.437271,13.259251,26.73
52.437271,13.259546,26.74
52.437271,13.259842,26.76
52.437271,13.260137,26.81
52.437271,13.260433,26.91
52.437271,13.260728,27.06
52.437271,13.261024,27.27
52.437271,13.261319,27.50
52.437271,13.261615,27.73
52.437271,13.261910,27.94
52.437271,13.262206,28.08
52.437271,13.262501,28.15
52.437271,13.262796,28.14
52.437271,13.263092,28.07
52.437271,13.263387,27.95
52.437271,13.263683,27.81
52.437271,13.263978,27.66
52.437271,13.264274,27.51
52.437271,13.264569,27.36
52.437271,13.264865,27.18
52.437271,13.265160,26.99
52.437271,13.265456,26.78
52.437271,13.265751,26.59
52.437271,13.266047,26.42
52.437271,13.266342,26.29
52.437271,13.266638,26.18
52.437271,13.266933,26.07
52.437271,13.267229,25.97
52.437271,13.267524,25.85
52.437271,13.267820,25.74
52.437271,13.268115,25.63
52.437271,13.268411,25.55
52.437271,13.268706,25.50
52.437271,13.269002,25.50
52.437271,13.269297,25.52
52.437271,13.269592,25.56
52.437271,13.269888,25.60
52.437271,13.270183,25.62
52.437271,13.270479,25.64
52.437271,13.270774,25.66
52.437271,13.271070,25.68
52.437271,13.271365,25.71
52.437271,13.271661,25.75
52.437271,13.271956,25.79
52.437271,13.272252,25.85
52.437271,13.272547,25.92
52.437271,13.272843,26.00
52.437271,13.273138,26.09
52.437271,13.273434,26.18
52.437271,13.273729,26.26
52.437271,13.274025,26.30
52.437271,13.274320,26.31
52.437271,13.274616,26.28
52.437271,13.274911,26.22
52.437271,13.275207,26.15
52.437271,13.275502,26.06
52.437271,13.275797,25.98
52.437271,13.276093,25.92
52.437271,13.276388,25.90
52.437271,13.276684,25.94
52.437271,13.276979,26.05
52.437271,13.277275,26.23
52.437271,13.277570,26.48
52.437271,13.277866,26.78
52.437271,13.278161,27.09
52.437271,13.278457,27.38
52.437271,13.278752,27.62
52.437271,13.279048,27.80
52.437271,13.279343,27.89
52.437271,13.279639,27.90
